zipcode,superzip,rank,city,state,adultpop,households,college,income,centile
1835,0,8.281470857895167,Haverhill,MA,8879,3493,29.3051%,4.415746911586953,49
1840,0,10.069213832980386,Lawrence,MA,2904,922,8.19559%,3.2452524820737447,49
1841,0,10.010321981449955,Lawrence,MA,23978,10276,8.42022%,3.642122434205273,49
1843,0,9.614604759507829,Lawrence,MA,14011,5758,12.99693%,3.9686802381422575,49
1844,0,8.588024372176829,Methuen,MA,30009,11635,22.94645%,4.358463056359377,49
1845,0,6.763884908562435,North Andover,MA,17672,7012,50.31689%,4.780206100158298,49
1850,0,9.467073426283948,Lowell,MA,9561,3824,14.54869%,4.019084773135711,49
1851,0,9.057189192482008,Lowell,MA,17759,6930,20.27141%,4.119170499257707,49
1852,0,9.07015834137632,Lowell,MA,21526,7817,19.48342%,4.132202006803321,49
1854,0,9.36228862824824,Lowell,MA,15575,5676,15.98716%,4.042539382457617,49
1860,0,8.0774471493312,Merrimac,MA,4048,1702,30.80534%,4.504008620166476,49
1862,0,8.313116702819253,North Billerica,MA,6836,2452,21.95729%,4.540837510329553,49
1863,0,7.6544432264701125,North Chelmsford,MA,5931,2285,40.07756%,4.548505650170313,49
1864,0,7.23561914106675,North Reading,MA,9302,3750,40.86218%,4.725361874066373,49
1867,0,6.906754778648554,Reading,MA,16304,6479,47.82875%,4.757683526105974,49
1876,0,8.06211758275474,Tewksbury,MA,19556,7646,25.49601%,4.607077366163254,49
1879,0,7.826443135456014,Tyngsboro,MA,7146,2965,30.64651%,4.632806753570281,49
1880,0,7.520234556474628,Wakefield,MA,17788,6643,39.70092%,4.622771372282363,49
1886,1,6.163314804034641,Westford,MA,13275,5824,56.81356%,4.912862952323993,49
1887,0,7.846589975291186,Wilmington,MA,14140,5810,31.44979%,4.60939823517774,49
1890,1,5.575949103146316,Winchester,MA,14800,5831,64.90541%,4.97072607731207,49
1902,0,9.518633568332074,Lynn,MA,30218,10668,15.92097%,3.9414515079189107,49
1904,0,8.473868066677865,Lynn,MA,12477,4846,21.76805%,4.456498817280638,49
1905,0,9.560504164299259,Lynn,MA,14375,5633,12.51478%,4.022696740901359,49
1906,0,8.55564437779049,Saugus,MA,19044,7140,19.25016%,4.454463568563388,49
1907,0,6.99117688712121,Swampscott,MA,10214,3996,50.21539%,4.684560681017193,49
1908,0,7.255591274253665,Nahant,MA,2810,988,47.47331%,4.61103694286605,49
1913,0,8.39366870513074,Amesbury,MA,11158,4269,26.42051%,4.409342024287822,49
1915,0,7.945909598613133,Beverly,MA,27633,9929,36.53603%,4.465184868666607,49
1921,1,5.342334251964811,Boxford,MA,5016,2253,62.81898%,5.051434248351086,49
1922,0,7.151485463904735,Byfield,MA,1866,767,42.97964%,4.735881731578353,49
1923,0,7.9617188159813645,Danvers,MA,17777,6602,33.0202%,4.52472773175988,49
1929,0,7.857093864902493,Essex,MA,2280,940,36.27193%,4.518857764672024,49
1930,0,8.470311205516108,Gloucester,MA,21598,7912,27.49329%,4.336519070622584,49
1938,0,7.535830462798367,Ipswich,MA,9311,3484,41.3919%,4.584761028789833,49
1940,0,6.78105762593618,Lynnfield,MA,8093,3352,49.33893%,4.788557008518305,49
1944,1,6.499787040655854,Manchester,MA,3704,1459,55.99352%,4.807319696554893,49
1945,1,6.095824562432225,Marblehead,MA,14724,5692,61.49824%,4.872283157477786,49
1949,0,7.624130585661289,Middleton,MA,5376,1778,29.31548%,4.741031487266244,49
1950,0,7.570443252057374,Newburyport,MA,13717,4684,42.16665%,4.551779957728548,49
1951,0,7.090076835776092,Newbury,MA,1894,771,46.19852%,4.709360817598354,49
1952,0,8.901094121608562,Salisbury,MA,5493,2025,17.13089%,4.299367319165941,49
1960,0,8.438366410870266,Peabody,MA,34274,12997,23.10206%,4.449983953494539,49
1966,0,7.578145472419466,Rockport,MA,5716,2035,44.41918%,4.506104262198553,49
1969,0,7.710653323501202,Rowley,MA,3619,1438,36.05968%,4.59268355143424,49
1970,0,8.417372856134026,Salem,MA,28169,9750,31.14062%,4.287005950461664,49
1982,0,6.9865664594064265,South Hamilton,MA,5524,2152,52.51629%,4.648793692606164,49
1983,1,6.335054251498059,Topsfield,MA,4135,1718,51.97098%,4.917141131001621,49
1984,1,6.57507584059962,Wenham,MA,2403,952,50.64503%,4.85320145281008,49
1985,1,6.295266001439646,West Newbury,MA,2787,1192,57.23%,4.86381832343142,49
2019,0,8.300776960851454,Bellingham,MA,10362,4306,21.97452%,4.54588684550155,49
2021,0,7.1785454837637,Canton,MA,14541,5562,45.21697%,4.685876980799253,49
2025,1,6.113682179832232,Cohasset,MA,5055,2060,60.73195%,4.874732329612204,49
2026,0,7.914252278742441,Dedham,MA,16989,6169,32.99194%,4.54943229214347,49
2030,1,3.4011973816621555,Dover,MA,3586,1571,77.80256%,5.325508805688729,49
2032,0,7.136483208590247,East Walpole,MA,2691,1044,43.6269%,4.730058585321172,49
2035,0,7.566311014772463,Foxboro,MA,11018,4413,37.50227%,4.635246330113398,49
2038,0,7.285506548522785,Franklin,MA,18736,7894,42.69321%,4.6727886467385025,49
2043,1,6.297109319933935,Hingham,MA,13581,5493,57.52154%,4.859244025810919,49
2045,0,8.279443487712665,Hull,MA,7957,2851,30.08672%,4.400058577586278,49
2048,0,7.424165281042028,Mansfield,MA,14306,5939,42.12918%,4.625645136244139,49
2050,0,7.691200097522863,Marshfield,MA,16654,6746,35.84124%,4.607116291096525,49
2052,1,5.777652323222656,Medfield,MA,7702,3316,62.10075%,4.958861884471828,49
2053,0,7.170888478512505,Medway,MA,7960,3337,43.51759%,4.7181943606507195,49
2054,0,7.748460023899697,Millis,MA,5407,2193,37.50694%,4.547231703267629,49
2056,0,7.195187320178709,Norfolk,MA,7106,2433,37.89755%,4.789992779247973,49
2061,1,6.568077911411976,Norwell,MA,6564,2732,51.87386%,4.840541077760744,49
2062,0,7.742402021815782,Norwood,MA,20788,7441,39.21493%,4.51902868509198,49
2066,0,6.985641817639208,Scituate,MA,12133,4812,47.95187%,4.722029239348721,49
2067,1,6.045005314036012,Sharon,MA,11464,4953,63.07572%,4.8645446006905395,49
2071,0,7.444833273892193,South Walpole,MA,649,277,40.98613%,4.635068736333954,49
2072,0,8.13622555490846,Stoughton,MA,19209,7309,28.38253%,4.515859731781029,49
2081,0,7.356279876550748,Walpole,MA,12581,4672,38.98736%,4.70316856752011,49
2090,1,6.161207321695077,Westwood,MA,9707,3880,57.41218%,4.905268852494945,49
2093,0,7.22402480828583,Wrentham,MA,7133,2650,39.14202%,4.757480888380319,49
2108,1,2.5649493574615367,Boston,MA,2874,592,72.51218%,5.437767956110112,49
2109,1,6.111467339502679,Boston,MA,3080,634,65.94156%,4.805041835024932,49
2110,1,4.762173934797756,Boston,MA,1246,309,76.72552%,5.069908728960804,49
2111,0,9.666308462257454,Boston,MA,3634,925,24.79362%,3.4174617304835984,49
2113,0,7.254884810077338,Boston,MA,5252,926,60.377%,4.362537958090019,49
2114,1,5.472270673671475,Boston,MA,9223,1570,70.73621%,4.925785216179863,49
2115,0,7.821643126239982,Boston,MA,11071,2268,60.04878%,3.9600435401754854,49
2116,1,5.733341276897746,Boston,MA,14520,3085,69.6281%,4.8718926320783345,49
2118,0,8.559294367434873,Boston,MA,16290,3343,43.92879%,3.769145675268012,49
2119,0,9.829679535391405,Boston,MA,14240,5528,14.92978%,3.6906955540057584,49
2120,0,9.156200925875535,Boston,MA,5796,1998,32.17736%,3.6085432033608456,49
2121,0,9.947265174882016,Boston,MA,13891,6090,12.23814%,3.626309394284533,49
2122,0,9.377802065863113,Boston,MA,14836,5268,17.69345%,3.9786875150498315,49
2124,0,9.490771217713771,Boston,MA,30470,12098,17.3679%,3.9111073863769295,49
2125,0,9.481664377815145,Boston,MA,20446,7286,19.07464%,3.8571143413552593,49
2126,0,9.420682331453184,Mattapan,MA,17058,7035,15.52937%,4.017179640303698,49
2127,0,8.784315349902657,Boston,MA,21510,6267,27.58252%,4.109965582958326,49
2128,0,9.837240906717202,Boston,MA,24819,8768,10.43958%,3.859460063273611,49
